id,title,artist,genre,mood,popularity,energy,tempo_bpm,valence,danceability,acousticness,liveness,instrumentalness,speechiness
19,Photograph,Boyce Avenue,acoustic,melancholic,67,0.32,107.946,0.322,0.717,0.83,0.107,0.0,0.0283
20,Demons,Boyce Avenue,acoustic,relaxed,63,0.351,90.032,0.569,0.678,0.747,0.355,0.0,0.0266
21,93 Million Miles,Jason Mraz,acoustic,relaxed,0,0.454,140.182,0.515,0.572,0.477,0.0974,1.4e-05,0.0258
22,Unlonely,Jason Mraz,acoustic,happy,0,0.667,97.988,0.754,0.796,0.381,0.221,0.0,0.0392
23,Bella Luna,Jason Mraz,acoustic,melancholic,1,0.454,120.06,0.33,0.755,0.757,0.236,0.0,0.0352
24,Winter Wonderland,Jason Mraz,acoustic,chill,0,0.309,145.363,0.664,0.62,0.788,0.146,0.0,0.0495
25,If It Kills Me,Jason Mraz,acoustic,relaxed,0,0.429,143.793,0.52,0.633,0.0444,0.132,0.0,0.0381
26,All I Want For Christmas Is A Real Good Tan,Chord Overstreet,acoustic,relaxed,0,0.455,202.019,0.564,0.593,0.366,0.0914,0.0,0.0388
27,Party of One,Brandi Carlile,acoustic,melancholic,0,0.206,165.4,0.202,0.296,0.782,0.0959,0.000225,0.0412
28,Lonely This Christmas,KT Tunstall,acoustic,sad,0,0.153,85.262,0.18,0.409,0.939,0.108,2.6e-05,0.0306
29,Throwing Good After Bad,Brandi Carlile,acoustic,melancholic,0,0.0952,138.016,0.316,0.501,0.963,0.0915,1.6e-05,0.054
30,This Time Tomorrow,Brandi Carlile,acoustic,relaxed,0,0.326,91.626,0.414,0.606,0.841,0.139,0.0,0.0294
31,The Haves,Eddie Vedder,acoustic,moody,0,0.519,151.832,0.326,0.474,0.281,0.107,0.0,0.0253
32,When You're Wrong,Brandi Carlile,acoustic,sad,0,0.301,88.029,0.142,0.568,0.796,0.118,3e-06,0.0373
33,You and Me on the Rock,Brandi Carlile,acoustic,happy,0,0.686,172.075,0.725,0.568,0.15,0.0881,2e-06,0.033
34,"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,acoustic,focused,0,0.666,148.155,0.498,0.476,0.314,0.342,0.0,0.0446
35,Trampoline - Acoustic,Highland Peak,acoustic,melancholic,46,0.2,107.893,0.308,0.596,0.91,0.0884,0.000183,0.0305
36,透明だった世界,Motohiro Hata,acoustic,happy,61,0.914,168.21,0.56,0.373,0.076,0.669,0.0,0.0565
37,Pieces,Andrew Belle,acoustic,moody,60,0.652,137.018,0.298,0.494,0.0754,0.125,0.00256,0.0314
38,A Drop in the Ocean,Ron Pope,acoustic,relaxed,68,0.393,73.139,0.564,0.447,0.785,0.28,0.0,0.038
39,So Far Away - Acoustic,Adam Christopher,acoustic,relaxed,52,0.331,149.02,0.407,0.576,0.894,0.129,3.4e-05,0.0306
40,The Enemy,Andrew Belle,acoustic,angry,62,0.89,121.974,0.273,0.536,0.078,0.131,0.0202,0.0375
41,Build It Better,Aron Wright,acoustic,sad,51,0.333,94.951,0.159,0.526,0.91,0.111,0.168,0.0314
42,Sleepwalking in the Rain,Chord Overstreet,acoustic,relaxed,0,0.381,80.075,0.502,0.501,0.687,0.119,0.00133,0.036
43,Gravity,Sara Bareilles,acoustic,melancholic,67,0.275,168.964,0.231,0.27,0.834,0.146,0.0,0.0356
44,What's Left of You,Chord Overstreet,acoustic,moody,57,0.507,117.969,0.265,0.731,0.572,0.0912,0.0,0.046
45,Pano,Zack Tabudlo,acoustic,relaxed,75,0.457,174.839,0.415,0.375,0.868,0.191,0.0145,0.0315
46,Sky's Still Blue,Andrew Belle,acoustic,angry,62,0.791,171.864,0.217,0.43,0.0726,0.11,0.0193,0.0302
47,And I Love Her,Kurt Cobain,acoustic,melancholic,66,0.282,96.638,0.435,0.616,0.983,0.13,0.833,0.0331
48,We Can't Stop,Boyce Avenue,acoustic,relaxed,64,0.347,80.057,0.36,0.705,0.674,0.12,0.0,0.0301
49,Always Be My Baby,Tim Halperin,acoustic,melancholic,62,0.255,139.884,0.285,0.582,0.772,0.0889,0.0,0.0306
50,Alone with You,Canyon City,acoustic,melancholic,58,0.274,86.664,0.207,0.549,0.798,0.103,7e-06,0.0379
51,Making All Things New,Aaron Espe,acoustic,relaxed,65,0.355,99.978,0.48,0.787,0.896,0.111,0.0201,0.0288
52,She Used To Be Mine,Sara Bareilles,acoustic,sad,67,0.303,81.05,0.172,0.397,0.381,0.101,0.0,0.0435
53,In My Veins - Feat. Erin Mccarley,Andrew Belle,acoustic,sad,65,0.42,128.012,0.196,0.548,0.198,0.0899,4e-06,0.0277
54,I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,acoustic,melancholic,44,0.403,118.042,0.264,0.787,0.603,0.131,0.00857,0.033
55,Superman (It's Not Easy),Five For Fighting,acoustic,sad,70,0.416,102.089,0.125,0.382,0.0733,0.0719,0.0,0.0302
56,When the End Comes,Andrew Belle,acoustic,focused,57,0.575,91.98,0.428,0.541,0.677,0.102,0.215,0.0491
57,You're Still The One,Bailey Jehl,acoustic,relaxed,56,0.473,119.698,0.54,0.607,0.712,0.66,0.0,0.034
58,Light Me Up,Ingrid Michaelson,acoustic,moody,56,0.595,147.928,0.117,0.417,0.158,0.101,0.000269,0.0396
59,Kaleidoscope,A Great Big World,acoustic,happy,62,0.913,108.024,0.519,0.709,0.0182,0.167,0.0,0.0748
60,The Long Road,Eddie Vedder,acoustic,melancholic,45,0.342,109.236,0.253,0.537,0.645,0.0687,0.266,0.0273
61,What Would I Do Without You,Drew Holcomb & The Neighbors,acoustic,melancholic,64,0.336,90.894,0.335,0.602,0.883,0.143,0.0017,0.0369
62,Have It All,Jason Mraz,acoustic,happy,65,0.638,82.001,0.6,0.643,0.204,0.0707,0.0,0.0407
63,Heavy Heart,Gabrielle Aplin,acoustic,happy,0,0.7,150.055,0.37,0.451,0.455,0.405,0.00233,0.0431
64,The House We Never Built,Gabrielle Aplin,acoustic,melancholic,0,0.391,139.669,0.202,0.546,0.784,0.0552,3e-06,0.063
65,Society,Eddie Vedder,acoustic,melancholic,68,0.327,161.858,0.298,0.561,0.902,0.111,0.000469,0.0327
66,Please Don't Say You Love Me,Gabrielle Aplin,acoustic,moody,0,0.541,85.994,0.3,0.479,0.74,0.108,0.0,0.0543
67,Guaranteed,Eddie Vedder,acoustic,relaxed,61,0.4,100.734,0.351,0.436,0.904,0.125,0.00105,0.0272
68,Brave,Sara Bareilles,acoustic,energetic,70,0.836,185.063,0.758,0.551,0.005,0.0425,2.1e-05,0.0524
69,Heaven Knows,Five For Fighting,acoustic,happy,62,0.845,97.631,0.392,0.6,0.048,0.24,0.0,0.0311
70,I Heard The Bells On Christmas Day,The Civil Wars,acoustic,melancholic,0,0.145,90.078,0.218,0.492,0.872,0.107,1e-05,0.0422
71,Fairytale Of New York,KT Tunstall,acoustic,moody,0,0.555,117.888,0.33,0.447,0.218,0.124,3e-06,0.0349
72,Suddenly I See,KT Tunstall,acoustic,energetic,0,0.78,100.499,0.693,0.603,0.139,0.164,0.0,0.0438
73,Rain,Motohiro Hata,acoustic,focused,58,0.655,92.003,0.542,0.626,0.503,0.13,0.0,0.0263
74,Somebody Else - Acoustic,Callum J Wright,acoustic,chill,50,0.38,114.99,0.617,0.794,0.762,0.262,0.0,0.0477
75,Pieces (Hushed),Andrew Belle,acoustic,sad,59,0.279,69.642,0.0951,0.52,0.894,0.103,0.000105,0.0547
76,Mirrors,Boyce Avenue,acoustic,happy,57,0.658,76.971,0.683,0.545,0.496,0.105,0.0,0.0474
77,Stand by Me,Boyce Avenue,acoustic,melancholic,60,0.266,115.189,0.307,0.728,0.872,0.114,1e-05,0.0293
78,Losing Me,Gabrielle Aplin,acoustic,melancholic,61,0.407,133.86,0.257,0.66,0.236,0.109,0.0,0.0571
79,なんでもないや - movie ver.,Mone Kamishiraishi,acoustic,melancholic,49,0.161,83.449,0.325,0.357,0.971,0.358,1.4e-05,0.0388
80,You’re Beautiful - Acoustic,John Adams,acoustic,melancholic,55,0.154,147.207,0.36,0.479,0.915,0.0974,0.0,0.0352
81,Hikare Inochi,Kitri,acoustic,happy,51,0.769,102.033,0.385,0.592,0.319,0.137,5e-06,0.0311
82,How To Lose a Girl,Tyler Ward,acoustic,melancholic,46,0.454,80.011,0.34,0.7,0.55,0.121,0.0022,0.0388
83,Can’t Help Falling in Love,Boyce Avenue,acoustic,sad,57,0.197,100.044,0.148,0.402,0.858,0.114,1e-06,0.0295
84,Dive Deep (Hushed),Andrew Belle,acoustic,sad,58,0.378,135.86,0.085,0.507,0.852,0.0937,0.000212,0.0332
85,When the Party's over (Acoustic Piano),Ben Woodward,acoustic,sad,51,0.226,124.96,0.188,0.619,0.959,0.106,4.4e-05,0.0641
86,Boston,Augustana,acoustic,moody,63,0.571,147.01,0.29,0.404,0.182,0.129,2.1e-05,0.0303
87,Living in the Shadows,Matthew Perryman Jones,acoustic,angry,53,0.79,175.975,0.197,0.418,0.0284,0.117,1e-05,0.0506
88,In Case You Didn’t Know,Boyce Avenue,acoustic,melancholic,60,0.299,147.549,0.341,0.633,0.833,0.109,0.0,0.0353
89,death bed (coffee for your head),Andrew Foy,acoustic,melancholic,47,0.0392,125.399,0.601,0.565,0.835,0.117,0.183,0.045
90,You Are My Sunshine,Kina Grannis,acoustic,melancholic,60,0.0755,80.004,0.575,0.664,0.91,0.164,0.0,0.0389
91,I Was Born To Love You,Ray LaMontagne,acoustic,melancholic,67,0.271,78.036,0.21,0.65,0.794,0.196,6.9e-05,0.0314
92,Only Love Can Hurt Like This,Meg Birch,acoustic,sad,43,0.213,98.385,0.0998,0.534,0.884,0.107,0.0,0.0283
93,Mr Blue,Catherine Feeny,acoustic,chill,54,0.386,165.733,0.612,0.456,0.835,0.389,0.108,0.032
94,Do Not Let Me Go,Joshua Hyslop,acoustic,sad,60,0.234,139.832,0.145,0.409,0.338,0.0895,5e-05,0.0323
95,Holding On And Letting Go,Ross Copperman,acoustic,moody,49,0.53,78.046,0.102,0.502,0.805,0.0728,0.000738,0.0266
96,You Already Know,JJ Heller,acoustic,melancholic,57,0.117,78.068,0.318,0.496,0.933,0.126,0.0,0.0301
97,Believer (Remix),Ben Woodward,acoustic,angry,42,0.724,187.484,0.333,0.585,0.315,0.0448,0.0681,0.0745
98,Collide - Acoustic Version,Howie Day,acoustic,melancholic,67,0.253,90.186,0.294,0.582,0.827,0.091,2.9e-05,0.0259
99,Love Like This,Ben Rector,acoustic,melancholic,61,0.14,139.78,0.392,0.637,0.903,0.107,0.0,0.0407
100,Come On Get Higher,Matt Nathanson,acoustic,happy,71,0.623,92.018,0.617,0.672,0.241,0.0848,0.0,0.0297
101,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic,sad,49,0.272,143.413,0.113,0.422,0.496,0.0704,1.1e-05,0.0353
102,Kiss Me Slowly,Parachute,acoustic,happy,61,0.801,173.92,0.431,0.47,0.0758,0.218,3.5e-05,0.0352
103,Without You,Parachute,acoustic,happy,61,0.864,95.984,0.534,0.564,0.0761,0.182,0.0,0.0341
104,Absolutely Zero,Jason Mraz,acoustic,sad,20,0.495,135.061,0.116,0.521,0.128,0.296,0.0,0.027
105,Sleep All Day,Jason Mraz,acoustic,energetic,22,0.81,97.994,0.79,0.616,0.369,0.107,0.0,0.0668
106,You and I Both,Jason Mraz,acoustic,energetic,35,0.812,98.954,0.74,0.615,0.184,0.328,0.0,0.0458
107,Long Nights,Eddie Vedder,acoustic,sad,60,0.305,108.66,0.0974,0.478,0.675,0.169,0.00139,0.0306
108,Who Needs Shelter,Jason Mraz,acoustic,moody,22,0.569,142.597,0.264,0.514,0.601,0.218,2e-06,0.03
109,No Stopping Us,Jason Mraz,acoustic,energetic,19,0.836,105.991,0.727,0.646,0.301,0.29,3.2e-05,0.0327
110,I'll Do Anything,Jason Mraz,acoustic,energetic,24,0.711,163.117,0.648,0.57,0.119,0.352,0.0,0.0703
111,Make You Feel My Love,JJ Heller,acoustic,melancholic,57,0.199,72.006,0.262,0.678,0.957,0.0968,3e-06,0.0307
112,The Remedy (I Won't Worry),Jason Mraz,acoustic,energetic,35,0.867,94.52,0.795,0.589,0.041,0.306,0.0,0.0385
113,Too Much Food,Jason Mraz,acoustic,happy,20,0.926,99.997,0.548,0.626,0.0265,0.159,0.0,0.0477
114,The Boy's Gone,Jason Mraz,acoustic,focused,18,0.556,112.997,0.36,0.686,0.532,0.0922,0.0,0.0271
115,"On Love, in Sadness",Jason Mraz,acoustic,energetic,19,0.832,100.957,0.802,0.56,0.108,0.232,0.0,0.0352
116,Curbside Prophet,Jason Mraz,acoustic,energetic,23,0.793,177.991,0.892,0.619,0.263,0.0828,0.0,0.0661
117,"Tonight, Not Again - Live",Jason Mraz,acoustic,melancholic,19,0.278,102.187,0.594,0.56,0.733,0.112,0.0,0.0921
118,"Tonight, Not Again",Jason Mraz,acoustic,happy,18,0.805,102.44,0.359,0.595,0.0167,0.0691,1.1e-05,0.0543
119,Hard Sun,Eddie Vedder,acoustic,energetic,65,0.827,143.377,0.645,0.438,0.0512,0.319,0.000402,0.0328
120,Here with Me,Susie Suh,acoustic,sad,55,0.375,129.909,0.106,0.582,0.702,0.136,0.0631,0.0329
121,The Scientist,Tyler Ward,acoustic,sad,47,0.295,146.022,0.14,0.453,0.518,0.293,0.00011,0.0291
122,Collide,Howie Day,acoustic,moody,56,0.625,93.931,0.342,0.636,0.222,0.119,5.3e-05,0.0277
123,get better,Eden Elf,acoustic,melancholic,53,0.201,88.107,0.4,0.639,0.907,0.124,2.3e-05,0.0526
124,Sympathy,Kitri,acoustic,relaxed,49,0.423,130.121,0.59,0.69,0.883,0.111,0.0123,0.0294
125,Let It Go,Boyce Avenue,acoustic,relaxed,51,0.349,147.913,0.444,0.599,0.819,0.112,0.0,0.0301
126,What You Need,Chord Overstreet,acoustic,sad,53,0.264,140.354,0.192,0.519,0.918,0.237,0.000253,0.0601
127,100 Years,Five For Fighting,acoustic,moody,66,0.569,120.507,0.275,0.643,0.544,0.178,2.2e-05,0.0276
128,You're the Sea,Andrew Belle,acoustic,focused,56,0.624,161.025,0.529,0.573,0.471,0.114,0.117,0.0324
129,No Direction,Rachael Yamagata,acoustic,energetic,47,0.821,111.958,0.613,0.654,0.0067,0.228,0.00299,0.0264
130,Belong,Cary Brothers,acoustic,melancholic,51,0.399,115.979,0.217,0.426,0.761,0.118,0.00112,0.034
131,As It Was,The Mayries,acoustic,melancholic,55,0.21,80.721,0.323,0.505,0.907,0.11,0.0,0.0295
132,Chi Mai,Joseph Sullinger,acoustic,melancholic,40,0.287,80.64,0.557,0.739,0.969,0.111,0.961,0.059
133,Had It All,Parachute,acoustic,moody,55,0.54,79.952,0.249,0.606,0.182,0.144,0.000144,0.0339
134,Take Me Back ft. Yonnyboii,Zack Tabudlo,acoustic,focused,50,0.646,120.049,0.563,0.595,0.11,0.258,0.0,0.0327
135,Whole Again - Acoustic Version,Tobey Rosen,acoustic,melancholic,52,0.145,129.832,0.235,0.736,0.855,0.108,0.0,0.0336
136,Overpass Graffiti,The Mayries,acoustic,melancholic,54,0.126,96.327,0.279,0.479,0.966,0.113,0.0,0.0303
137,Love Song,Sara Bareilles,acoustic,happy,73,0.786,123.055,0.573,0.583,0.0208,0.188,0.0,0.0301
138,Let Her Go,Andrew Foy,acoustic,melancholic,38,0.291,75.153,0.376,0.549,0.858,0.129,0.000846,0.0388
139,Brighter Than Sunshine,Aqualung,acoustic,relaxed,53,0.489,72.891,0.398,0.418,0.287,0.42,0.0288,0.0323
140,Love Story,Tyler Ward,acoustic,melancholic,55,0.12,121.187,0.338,0.498,0.851,0.171,0.0,0.0487
141,Mujer con Abanico,Agustín Amigó,acoustic,melancholic,41,0.135,103.939,0.471,0.769,0.986,0.106,0.905,0.061
142,In the Shadows,Amy Stroup,acoustic,sad,46,0.469,136.282,0.0568,0.434,0.52,0.108,0.000328,0.0265
143,Can You Feel the Love Tonight,Boyce Avenue,acoustic,melancholic,63,0.198,119.499,0.217,0.452,0.931,0.1,2e-06,0.0335
144,The Story,Brandi Carlile,acoustic,moody,66,0.5,93.621,0.177,0.544,0.0325,0.109,4e-06,0.026
145,Better,JJ Heller,acoustic,melancholic,54,0.187,104.988,0.233,0.662,0.969,0.0922,0.000273,0.0268
146,Iris,Kina Grannis,acoustic,sad,62,0.13,130.769,0.179,0.497,0.841,0.111,0.0,0.0436
147,Rockabye - Acoustic Version,The Mayries,acoustic,melancholic,57,0.291,76.805,0.355,0.528,0.914,0.121,0.0,0.0401
148,I Need You More Today,Caleb Santos,acoustic,focused,68,0.522,157.768,0.446,0.461,0.36,0.123,0.0,0.043
149,Beautiful Soul,Boyce Avenue,acoustic,happy,62,0.506,87.337,0.705,0.483,0.394,0.0946,0.0,0.0347
150,Let's See What The Night Can Do,Jason Mraz,acoustic,melancholic,53,0.423,113.537,0.288,0.392,0.27,0.117,0.0,0.0348
151,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,acoustic,sad,44,0.2,87.248,0.164,0.42,0.929,0.0758,0.49,0.0492
152,Forever And Always,Parachute,acoustic,happy,57,0.716,93.924,0.435,0.657,0.014,0.0483,0.0,0.0301
153,Fine On The Outside,Priscilla Ahn,acoustic,sad,52,0.185,101.89,0.196,0.495,0.692,0.109,0.00403,0.0288
154,Tortured Soul,Chord Overstreet,acoustic,sad,53,0.499,86.966,0.144,0.55,0.472,0.0798,2e-06,0.0338
155,I Believe in You,JJ Heller,acoustic,melancholic,53,0.359,131.804,0.267,0.534,0.449,0.331,1.2e-05,0.0296
156,At Home,Jon Bryant,acoustic,focused,55,0.52,73.744,0.357,0.378,0.777,0.0979,0.0888,0.0382
157,"Portland, Maine",Donovan Woods,acoustic,sad,66,0.349,80.071,0.156,0.606,0.764,0.112,0.306,0.0319
158,The Flood,Joshua Hyslop,acoustic,melancholic,60,0.446,81.005,0.262,0.577,0.554,0.116,0.0782,0.0313
159,Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,acoustic,melancholic,38,0.407,145.852,0.276,0.59,0.861,0.094,1e-05,0.0361
160,Out of My League,Stephen Speaks,acoustic,relaxed,67,0.315,91.921,0.4,0.538,0.96,0.0979,0.00596,0.0291
161,Rise,Eddie Vedder,acoustic,focused,60,0.58,173.277,0.526,0.401,0.906,0.134,0.217,0.0541
162,World Spins Madly On,The Weepies,acoustic,relaxed,64,0.311,107.612,0.4,0.502,0.617,0.129,4.3e-05,0.0285
163,Stumble,Freddie King,acoustic,happy,0,0.612,118.381,0.857,0.678,0.1,0.164,0.316,0.0339
164,Paradise,Taj Mahal,acoustic,chill,0,0.406,79.642,0.862,0.65,0.568,0.484,0.0,0.0761
165,"Moonlight, Mistletoe & You",Keb' Mo',acoustic,melancholic,0,0.399,97.498,0.342,0.649,0.184,0.113,0.000108,0.0256
166,ひまわりの約束,Motohiro Hata,acoustic,melancholic,61,0.445,78.957,0.336,0.523,0.188,0.18,0.0,0.0329
167,Since U Been Gone - Acoustic Version,Thomas Daniel,acoustic,melancholic,50,0.162,94.981,0.366,0.538,0.847,0.114,0.0,0.0299
168,"One more time,One more chance",Masayoshi Yamazaki,acoustic,relaxed,47,0.429,129.491,0.396,0.519,0.658,0.111,0.0,0.0317
169,Creep,Kina Grannis,acoustic,sad,58,0.103,133.057,0.179,0.585,0.801,0.126,0.0,0.0309
170,Higher Love,Todd Carey,acoustic,happy,30,0.763,96.808,0.394,0.578,0.0916,0.0743,3e-06,0.0998
171,Hyouriittai,YUZU,acoustic,angry,52,0.891,159.888,0.333,0.223,0.325,0.287,0.0,0.138
172,How Long Will I Love You,Canyon City,acoustic,melancholic,55,0.157,136.11,0.224,0.382,0.878,0.112,0.000473,0.0361
173,Binibini,Zack Tabudlo,acoustic,sad,67,0.374,129.863,0.0979,0.642,0.423,0.435,2e-06,0.032
174,You Were Supposed to Be Different,Aron Wright,acoustic,sad,45,0.239,73.761,0.137,0.436,0.861,0.0902,8.5e-05,0.0282
175,Thinking out Loud,Boyce Avenue,acoustic,chill,56,0.326,79.904,0.628,0.702,0.705,0.168,0.0,0.0272
176,Perfect / Style,Jonah Baker,acoustic,melancholic,37,0.292,111.121,0.375,0.593,0.828,0.174,0.0,0.0364
177,Poison & Wine,The Civil Wars,acoustic,melancholic,54,0.186,153.848,0.203,0.285,0.76,0.104,7.3e-05,0.0288
178,You And I,Ingrid Michaelson,acoustic,melancholic,63,0.285,135.027,0.53,0.698,0.927,0.0883,0.0,0.0553
179,Give Me Your Forever (ft. Billkin),Zack Tabudlo,acoustic,melancholic,58,0.439,99.976,0.275,0.601,0.0642,0.0942,0.0,0.0269
180,Breathe (2 AM),Anna Nalick,acoustic,melancholic,65,0.452,169.837,0.287,0.386,0.417,0.0881,0.0,0.0278
181,Habang Buhay,Zack Tabudlo,acoustic,moody,69,0.668,118.013,0.183,0.62,0.088,0.362,0.0,0.0305
182,Bulletproof,Ben Woodward,acoustic,happy,39,0.552,155.101,0.635,0.59,0.654,0.128,0.000359,0.0407
183,Spectrum,Andrew Belle,acoustic,angry,54,0.717,117.973,0.212,0.539,0.0003,0.125,0.111,0.031
184,Girls Like You - Acoustic Version,Jonah Baker,acoustic,melancholic,44,0.138,115.65,0.3,0.543,0.791,0.185,0.0,0.0531
185,Nangangamba,Zack Tabudlo,acoustic,moody,70,0.547,98.032,0.208,0.62,0.112,0.19,0.0,0.0248
186,Better Together,Us The Duo,acoustic,relaxed,64,0.311,109.891,0.553,0.761,0.647,0.15,0.0,0.0692
187,Heartbreak Anniversary,Andrew Foy,acoustic,melancholic,40,0.122,130.014,0.339,0.674,0.882,0.139,0.0,0.0427
188,One More Time Around,Tyler Ward,acoustic,sad,47,0.358,134.279,0.187,0.429,0.614,0.0875,0.0,0.0346
189,Heart Can’t Lose,Zack Tabudlo,acoustic,focused,55,0.567,125.871,0.374,0.647,0.0318,0.133,0.0,0.0328
190,I Ain't Ever Loved No One - Acoustic,Donovan Woods,acoustic,sad,57,0.213,160.389,0.16,0.322,0.611,0.113,0.0,0.0318
191,Empty,Ray LaMontagne,acoustic,relaxed,48,0.381,81.712,0.42,0.482,0.455,0.114,0.00295,0.0311
192,"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,acoustic,melancholic,54,0.207,163.99,0.262,0.393,0.877,0.104,0.0,0.0392
193,The Reason,Tim Halperin,acoustic,melancholic,53,0.207,149.664,0.209,0.423,0.887,0.0948,0.0,0.0289
194,Fix You,Canyon City,acoustic,sad,60,0.152,144.055,0.133,0.522,0.788,0.148,2.4e-05,0.0303
195,Hand to Hold,JJ Heller,acoustic,melancholic,54,0.313,133.737,0.261,0.547,0.612,0.111,8e-06,0.0315
196,Hold You in My Arms,Ray LaMontagne,acoustic,relaxed,62,0.321,170.134,0.577,0.504,0.149,0.147,0.000107,0.0316
197,One Last Dance,Us The Duo,acoustic,sad,51,0.161,139.167,0.171,0.466,0.979,0.231,0.000238,0.0492
198,Heaven,Boyce Avenue,acoustic,melancholic,61,0.28,129.948,0.292,0.619,0.73,0.103,0.0,0.0317
199,The Spark - Bonus Track,Joshua Hyslop,acoustic,melancholic,51,0.429,148.086,0.229,0.596,0.775,0.0962,0.0107,0.0377
200,American Beauty,Drew Holcomb & The Neighbors,acoustic,sad,63,0.169,167.826,0.178,0.645,0.844,0.109,0.00019,0.0317
201,Such A Simple Thing,Ray LaMontagne,acoustic,sad,65,0.256,76.349,0.13,0.522,0.86,0.142,0.000806,0.0258
202,Colors,Amos Lee,acoustic,melancholic,64,0.168,128.615,0.29,0.681,0.793,0.109,0.000134,0.0291
203,Someone You Loved,Boyce Avenue,acoustic,relaxed,57,0.364,110.023,0.371,0.736,0.741,0.0932,0.0,0.0349
204,More Than Friends (feat. Meghan Trainor),Jason Mraz,acoustic,focused,54,0.528,139.28,0.527,0.451,0.366,0.0811,0.0,0.0364
205,Flurry Rush,Days N Daze,acoustic,happy,37,0.674,87.603,0.92,0.371,0.169,0.0889,0.0,0.0488
206,I Choose You,Sara Bareilles,acoustic,happy,63,0.572,154.038,0.947,0.731,0.105,0.133,0.00012,0.0445
207,I Do Adore,Mindy Gledhill,acoustic,chill,53,0.334,74.721,0.8,0.69,0.947,0.0895,0.0,0.066
208,I'll Be Home For Christmas,Dave Barnes,acoustic,melancholic,0,0.307,94.026,0.24,0.594,0.796,0.15,0.0414,0.0249
209,Fuck You,Get Dead,acoustic,energetic,36,0.917,117.875,0.936,0.608,0.236,0.13,0.0,0.0601
210,Christmas Comes But Once A Year,Albert King,acoustic,chill,0,0.494,93.269,0.621,0.687,0.324,0.0867,5.5e-05,0.0505
211,If I Ain't Got You - Acoustic,John Adams,acoustic,melancholic,55,0.15,104.018,0.361,0.652,0.923,0.102,0.0,0.0363
212,Believe - Acoustic,John Adams,acoustic,sad,57,0.241,123.95,0.182,0.765,0.873,0.111,0.0,0.0373
213,Iris - Acoustic,Adam Christopher,acoustic,melancholic,54,0.249,150.096,0.363,0.589,0.717,0.106,0.0,0.0329
214,Rain - Long Ver.,Motohiro Hata,acoustic,focused,44,0.604,92.02,0.351,0.588,0.343,0.252,6.9e-05,0.024
215,C'est si bon,Aoi Teshima,acoustic,melancholic,51,0.203,113.913,0.479,0.735,0.854,0.105,0.00164,0.0539
